timestamp,mode,num_books,total_possible_pairs,stage1_time_sec,stage2_time_sec,total_time_sec,input_size_mb,index_size_mb,output_size_mb,unique_words,similarity_pairs,pairs_computed,throughput_books_per_sec,throughput_pairs_per_sec,num_executors,executor_memory,driver_memory,input_dir,index_output,pairwise_output
2025-11-19 13:39:08,pairwise,10,45,58.94,56.26,115.2,3.67,0.59,0.0,9755,45,45,0.0868,0.8,8,8G,2G,hdfs:///gutenberg-input-10,hdfs:///spark-index-10_20251119_133908,hdfs:///spark-pairwise-10_20251119_133908
2025-11-19 13:41:19,pairwise,50,1225,72.04,60.29,132.33,20.45,4.3,0.06,36255,1225,1225,0.3778,20.32,8,8G,2G,hdfs:///gutenberg-input-50,hdfs:///spark-index-50_20251119_134119,hdfs:///spark-pairwise-50_20251119_134119
2025-11-19 13:43:47,pairwise,100,4950,69.57,69.28,138.85,38.69,9.46,0.26,63495,4950,4950,0.7202,71.45,8,8G,2G,hdfs:///gutenberg-input-100,hdfs:///spark-index-100_20251119_134347,hdfs:///spark-pairwise-100_20251119_134347
2025-11-19 13:46:22,pairwise,200,19900,79.35,91.87,171.22,61.92,16.86,1.03,101397,19900,19900,1.1681,216.61,8,8G,2G,hdfs:///gutenberg-input-200,hdfs:///spark-index-200_20251119_134622,hdfs:///spark-pairwise-200_20251119_134622
