timestamp,mode,num_books,stage1_time_sec,stage2_time_sec,total_time_sec,input_size_mb,index_size_mb,output_size_mb,unique_words,similarity_pairs,throughput_books_per_sec,num_executors,executor_memory,driver_memory,input_dir,index_output,jpii_output
2025-11-19 13:29:16,jpii,10,65.4,43.28,108.68,3.67,0.59,0.0,9755,10,0.092,8,8G,2G,hdfs:///gutenberg-input-10,hdfs:///spark-index-10_20251119_132916,hdfs:///spark-jpii-10_20251119_132916
2025-11-19 13:31:49,jpii,50,64.28,44.87,109.15,20.45,4.3,0.0,36255,50,0.4581,8,8G,2G,hdfs:///gutenberg-input-50,hdfs:///spark-index-50_20251119_133149,hdfs:///spark-jpii-50_20251119_133149
2025-11-19 13:34:06,jpii,100,68.15,43.88,112.03,38.69,9.46,0.01,63495,100,0.8926,8,8G,2G,hdfs:///gutenberg-input-100,hdfs:///spark-index-100_20251119_133406,hdfs:///spark-jpii-100_20251119_133406
2025-11-19 13:36:32,jpii,200,87.61,44.76,132.37,61.92,16.86,0.01,101397,200,1.5109,8,8G,2G,hdfs:///gutenberg-input-200,hdfs:///spark-index-200_20251119_133632,hdfs:///spark-jpii-200_20251119_133632
