timestamp,mode,num_books,total_possible_pairs,stage1_time_sec,stage2_time_sec,total_time_sec,input_size_mb,index_size_mb,output_size_mb,unique_words,similarity_pairs,pairs_computed,throughput_books_per_sec,throughput_pairs_per_sec,num_reducers,input_dir,index_output,pairwise_output
2025-11-20 09:46:32,pairwise,10,45,50.7,37.29,87.99,3.67,0.63,0.0,10027,45,45,0.1136,1.21,6,hdfs:///gutenberg-input-10,hdfs:///mapreduce-index-10_20251120_094632,hdfs:///mapreduce-pairwise-10_20251120_094632
2025-11-20 09:49:39,pairwise,50,1225,73.94,42.79,116.73,20.45,4.33,0.06,36293,1225,1225,0.4283,28.63,6,hdfs:///gutenberg-input-50,hdfs:///mapreduce-index-50_20251120_094939,hdfs:///mapreduce-pairwise-50_20251120_094939
2025-11-20 09:51:57,pairwise,100,4950,111.65,54.63,166.28,38.69,9.47,0.26,63498,4950,4950,0.6014,90.61,6,hdfs:///gutenberg-input-100,hdfs:///mapreduce-index-100_20251120_095157,hdfs:///mapreduce-pairwise-100_20251120_095157
2025-11-20 09:55:05,pairwise,200,19900,185.74,101.42,287.16,61.92,16.86,1.03,101397,19900,19900,0.6965,196.21,6,hdfs:///gutenberg-input-200,hdfs:///mapreduce-index-200_20251120_095505,hdfs:///mapreduce-pairwise-200_20251120_095505
2025-11-20 10:50:25,pairwise,200,19900,195.23,95.4,290.63,61.92,16.86,1.03,101397,19900,19900,0.6882,208.6,4,hdfs:///gutenberg-input-200,hdfs:///mapreduce-index-200_20251120_105025,hdfs:///mapreduce-pairwise-200_20251120_105025
