Title,Author,Link,Bookshelf
The Extermination of the American Bison,William T. Hornaday,http://www.gutenberg.org/ebooks/17748,Animal
Deadfalls and Snares,A. R. Harding,http://www.gutenberg.org/ebooks/34110,Animal
