timestamp,mode,num_books,total_possible_pairs,stage1_time_sec,stage2_time_sec,total_time_sec,input_size_mb,index_size_mb,output_size_mb,unique_words,similarity_pairs,pairs_computed,throughput_books_per_sec,throughput_pairs_per_sec,num_reducers,input_dir,index_output,pairwise_output
2025-11-19 15:34:49,pairwise,10,45,57.7,31.33,89.03,3.67,0.63,0.0,10027,45,45,0.1123,1.44,4,hdfs:///gutenberg-input-10,hdfs:///mapreduce-index-10_20251119_153449,hdfs:///mapreduce-pairwise-10_20251119_153449
2025-11-19 15:36:56,pairwise,50,1225,76.52,49.48,126.0,20.45,4.33,0.06,36293,1225,1225,0.3968,24.76,6,hdfs:///gutenberg-input-50,hdfs:///mapreduce-index-50_20251119_153656,hdfs:///mapreduce-pairwise-50_20251119_153656
2025-11-19 15:39:35,pairwise,100,4950,115.54,73.77,189.31,38.69,9.47,0.26,63498,4950,4950,0.5282,67.1,8,hdfs:///gutenberg-input-100,hdfs:///mapreduce-index-100_20251119_153935,hdfs:///mapreduce-pairwise-100_20251119_153935
2025-11-19 15:43:17,pairwise,200,19900,220.4,144.28,364.68,61.92,16.86,1.03,101397,19900,19900,0.5484,137.93,12,hdfs:///gutenberg-input-200,hdfs:///mapreduce-index-200_20251119_154317,hdfs:///mapreduce-pairwise-200_20251119_154317
