timestamp,mode,num_books,total_possible_pairs,stage1_time_sec,stage2_time_sec,total_time_sec,input_size_mb,index_size_mb,output_size_mb,unique_words,similarity_pairs,pairs_computed,throughput_books_per_sec,throughput_pairs_per_sec,num_executors,executor_memory,driver_memory,input_dir,index_output,pairwise_output
2025-11-20 07:47:34,pairwise,10,45,51.14,37.91,89.05,3.67,0.59,0.0,9755,45,45,0.1123,1.19,6,4G,2G,hdfs:///gutenberg-input-10,hdfs:///spark-index-10_20251120_074734,hdfs:///spark-pairwise-10_20251120_074734
2025-11-20 07:49:47,pairwise,50,1225,47.05,51.14,98.19,20.45,4.3,0.06,36255,1225,1225,0.5092,23.95,6,4G,2G,hdfs:///gutenberg-input-50,hdfs:///spark-index-50_20251120_074947,hdfs:///spark-pairwise-50_20251120_074947
2025-11-20 07:51:47,pairwise,100,4950,52.26,49.89,102.15,38.69,9.46,0.26,63495,4950,4950,0.979,99.22,6,4G,2G,hdfs:///gutenberg-input-100,hdfs:///spark-index-100_20251120_075147,hdfs:///spark-pairwise-100_20251120_075147
2025-11-20 07:53:44,pairwise,200,19900,61.05,79.75,140.8,61.92,16.86,1.03,101397,19900,19900,1.4205,249.53,6,4G,2G,hdfs:///gutenberg-input-200,hdfs:///spark-index-200_20251120_075344,hdfs:///spark-pairwise-200_20251120_075344
