timestamp,mode,num_books,total_possible_pairs,stage1_time_sec,stage2_time_sec,total_time_sec,input_size_mb,index_size_mb,output_size_mb,unique_words,similarity_pairs,pairs_computed,throughput_books_per_sec,throughput_pairs_per_sec,num_executors,executor_memory,driver_memory,input_dir,index_output,pairwise_output
2025-11-20 08:05:18,pairwise,10,45,48.52,50.04,98.56,3.67,0.59,0.0,9755,45,45,0.1015,0.9,6,4G,2G,hdfs:///gutenberg-input-10,hdfs:///spark-index-10_20251120_080518,hdfs:///spark-pairwise-10_20251120_080518
2025-11-20 08:08:17,pairwise,50,1225,46.23,49.03,95.26,20.45,4.3,0.06,36255,1225,1225,0.5249,24.98,6,4G,2G,hdfs:///gutenberg-input-50,hdfs:///spark-index-50_20251120_080817,hdfs:///spark-pairwise-50_20251120_080817
2025-11-20 08:10:07,pairwise,100,4950,52.98,57.34,110.32,38.69,9.46,0.26,63495,4950,4950,0.9065,86.33,6,4G,2G,hdfs:///gutenberg-input-100,hdfs:///spark-index-100_20251120_081007,hdfs:///spark-pairwise-100_20251120_081007
2025-11-20 08:12:13,pairwise,200,19900,62.45,60.14,122.59,61.92,16.86,1.03,101397,19900,19900,1.6315,330.89,6,4G,2G,hdfs:///gutenberg-input-200,hdfs:///spark-index-200_20251120_081213,hdfs:///spark-pairwise-200_20251120_081213
